Model,Configuration,Accuracy,F1-Score,Sensitivity,Specificity
Task_03,Combined/Ensemble,0.619 ± 0.000,0.618 ± 0.000,0.587 ± 0.000,0.647 ± 0.000
Task_05,Combined/Ensemble,0.615 ± 0.000,0.601 ± 0.000,0.422 ± 0.000,0.784 ± 0.000
Task_04,Combined/Ensemble,0.615 ± 0.000,0.593 ± 0.000,0.378 ± 0.000,0.824 ± 0.000
Task_07,Combined/Ensemble,0.615 ± 0.000,0.614 ± 0.000,0.667 ± 0.000,0.569 ± 0.000
Task_04,Combined/Ensemble,0.615 ± 0.000,0.615 ± 0.000,0.600 ± 0.000,0.627 ± 0.000
Task_07,Combined/Ensemble,0.604 ± 0.000,0.602 ± 0.000,0.533 ± 0.000,0.667 ± 0.000
Task_05,Combined/Ensemble,0.594 ± 0.000,0.593 ± 0.000,0.533 ± 0.000,0.647 ± 0.000
Task_05,Combined/Ensemble,0.594 ± 0.000,0.594 ± 0.000,0.578 ± 0.000,0.608 ± 0.000
multimodal_text_umberto-commoncrawl-cased-v1,Task_07,0.588 ± 0.000,0.585 ± 0.000,0.674 ± 0.000,0.510 ± 0.000
Task_05,Combined/Ensemble,0.583 ± 0.000,0.547 ± 0.000,0.289 ± 0.000,0.843 ± 0.000
Task_07,Combined/Ensemble,0.562 ± 0.000,0.562 ± 0.000,0.622 ± 0.000,0.510 ± 0.000
Task_03,Combined/Ensemble,0.557 ± 0.000,0.556 ± 0.000,0.522 ± 0.000,0.588 ± 0.000
Task_01,Combined/Ensemble,0.557 ± 0.000,0.557 ± 0.000,0.587 ± 0.000,0.529 ± 0.000
Task_02,Combined/Ensemble,0.546 ± 0.000,0.546 ± 0.000,0.500 ± 0.000,0.588 ± 0.000
Task_03,Combined/Ensemble,0.536 ± 0.000,0.535 ± 0.000,0.478 ± 0.000,0.588 ± 0.000
Task_02,Combined/Ensemble,0.536 ± 0.000,0.536 ± 0.000,0.543 ± 0.000,0.529 ± 0.000
Task_05,Combined/Ensemble,0.510 ± 0.000,0.457 ± 0.000,0.178 ± 0.000,0.804 ± 0.000
Task_02,Combined/Ensemble,0.495 ± 0.000,0.480 ± 0.000,0.674 ± 0.000,0.333 ± 0.000
Task_03,Combined/Ensemble,0.454 ± 0.000,0.453 ± 0.000,0.500 ± 0.000,0.412 ± 0.000
Task_03,Combined/Ensemble,0.381 ± 0.000,0.368 ± 0.000,0.217 ± 0.000,0.529 ± 0.000
