Config,Accuracy,F1-Score,Sensitivity (Recall),Specificity,Precision
Standard (T=0.50),0.84 ± 0.04,0.83 ± 0.04,0.98 ± 0.04,0.71 ± 0.06,0.87 ± 0.04
Triage (T=0.35),0.65 ± 0.07,0.61 ± 0.10,0.98 ± 0.04,0.35 ± 0.16,0.79 ± 0.02
