,Category,Feature,Acc_mu,Acc_std,F1_mu,Sens_mu,Spec_mu,Accuracy
0,FUSION,Multimodal (SOTA),0.7239849624060151,0.07080532717906349,0.717719309863987,0.7019047619047619,0.7462337662337662,0.724 ± 0.071
1,TEXTUAL,BERT-IT,0.7065413533834587,0.06234763357371114,0.6970088159217536,0.6466666666666666,0.7615584415584415,0.707 ± 0.062
2,ACOUSTIC,Whisper-v3,0.6602923976608187,0.07289121925946812,0.6432022954280173,0.5646560846560846,0.7422510822510823,0.660 ± 0.073
3,ACOUSTIC,eGeMAPS,0.5926594263436369,0.0790126031589386,0.5572690820666715,0.5524867724867725,0.6297835497835498,0.593 ± 0.079
