Task,Model,Acc,F1,Sens,Spec,Prec
T01,Multimodal (SOTA),0.84 ± 0.04,0.83 ± 0.04,0.98 ± 0.04,0.71 ± 0.06,0.87 ± 0.04
T02,Multimodal (BERT-IT),0.79 ± 0.11,0.79 ± 0.11,0.74 ± 0.14,0.84 ± 0.19,0.81 ± 0.10
T03,Multimodal (UmBERTo),0.71 ± 0.03,0.70 ± 0.03,0.66 ± 0.17,0.77 ± 0.17,0.75 ± 0.04
T04,SVM + Whisper-v3,0.76 ± 0.05,0.76 ± 0.05,0.75 ± 0.09,0.76 ± 0.05,0.76 ± 0.06
T05,UmBERTo,0.71 ± 0.10,0.70 ± 0.10,0.57 ± 0.17,0.84 ± 0.12,0.74 ± 0.11
T06,LogReg + eGeMAPS,0.73 ± 0.07,0.73 ± 0.07,0.75 ± 0.05,0.70 ± 0.09,0.73 ± 0.06
T07,SVM + Whisper-v3,0.72 ± 0.12,0.72 ± 0.12,0.73 ± 0.09,0.71 ± 0.22,0.74 ± 0.12
